VacID|VacType|VacStatus|VCenterID
P0001|Phizer|Available|NULL
P0002|Phizer|Available|NULL
P0003|Phizer|Available|NULL
P0004|Phizer|Available|NULL
P0005|Phizer|Available|NULL
P0006|Phizer|Available|NULL
P0007|Phizer|Available|NULL
P0008|Phizer|Available|NULL
P0009|Phizer|Available|NULL
P0010|Phizer|Available|NULL
P0011|Phizer|Available|NULL
P0012|Phizer|Available|NULL
P0013|Phizer|Available|NULL
P0014|Phizer|Available|NULL
P0015|Phizer|Available|NULL
P0016|Phizer|Available|NULL
P0017|Phizer|Available|NULL
P0018|Phizer|Available|NULL
P0019|Phizer|Available|NULL
P0020|Phizer|Available|NULL
P0021|Phizer|Available|NULL
P0022|Phizer|Available|NULL
P0023|Phizer|Available|NULL
P0024|Phizer|Available|NULL
P0025|Phizer|Available|NULL
P0026|Phizer|Available|NULL
P0027|Phizer|Available|NULL
P0028|Phizer|Available|NULL
P0029|Phizer|Available|NULL
P0030|Phizer|Available|NULL
S0001|Sinovac|Available|NULL
S0002|Sinovac|Available|NULL
S0003|Sinovac|Available|NULL
S0004|Sinovac|Available|NULL
S0005|Sinovac|Available|NULL
S0006|Sinovac|Available|NULL
S0007|Sinovac|Available|NULL
S0008|Sinovac|Available|NULL
S0009|Sinovac|Available|NULL
S0010|Sinovac|Available|NULL
S0011|Sinovac|Available|NULL
S0012|Sinovac|Available|NULL
S0013|Sinovac|Available|NULL
S0014|Sinovac|Available|NULL
S0015|Sinovac|Available|NULL
S0016|Sinovac|Available|NULL
S0017|Sinovac|Available|NULL
S0018|Sinovac|Available|NULL
S0019|Sinovac|Available|NULL
S0020|Sinovac|Available|NULL
S0021|Sinovac|Available|NULL
S0022|Sinovac|Available|NULL
S0023|Sinovac|Available|NULL
S0024|Sinovac|Available|NULL
S0025|Sinovac|Available|NULL
S0026|Sinovac|Available|NULL
S0027|Sinovac|Available|NULL
S0028|Sinovac|Available|NULL
S0029|Sinovac|Available|NULL
S0030|Sinovac|Available|NULL
A0001|AstraZeneca|Available|NULL
A0002|AstraZeneca|Available|NULL
A0003|AstraZeneca|Available|NULL
A0004|AstraZeneca|Available|NULL
A0005|AstraZeneca|Available|NULL
A0006|AstraZeneca|Available|NULL
A0007|AstraZeneca|Available|NULL
A0008|AstraZeneca|Available|NULL
A0009|AstraZeneca|Available|NULL
A0010|AstraZeneca|Available|NULL
A0011|AstraZeneca|Available|NULL
A0012|AstraZeneca|Available|NULL
A0013|AstraZeneca|Available|NULL
A0014|AstraZeneca|Available|NULL
A0015|AstraZeneca|Available|NULL
A0016|AstraZeneca|Available|NULL
A0017|AstraZeneca|Available|NULL
A0018|AstraZeneca|Available|NULL
A0019|AstraZeneca|Available|NULL
A0020|AstraZeneca|Available|NULL
A0021|AstraZeneca|Available|NULL
A0022|AstraZeneca|Available|NULL
A0023|AstraZeneca|Available|NULL
A0024|AstraZeneca|Available|NULL
A0025|AstraZeneca|Available|NULL
A0026|AstraZeneca|Available|NULL
A0027|AstraZeneca|Available|NULL
A0028|AstraZeneca|Available|NULL
A0029|AstraZeneca|Available|NULL
A0030|AstraZeneca|Available|NULL
